100000 2 3
A	F	0.342060 	0.742252 	0.366719 
A	E	0.815883 	0.114212 	0.346768 
C	E	0.799705 	0.518397 	0.310270 
A	E	0.299275 	0.443988 	0.336450 
B	E	0.506151 	0.023416 	0.481866 
B	E	0.910829 	0.005941 	0.577746 
A	F	0.280806 	0.439292 	0.615479 
C	E	0.101531 	0.202534 	0.943266 
A	E	0.478086 	0.606136 	0.827438 
A	H	0.018939 	0.265188 	0.833301 
B	H	0.741687 	0.401498 	0.889260 
C	E	0.491337 	0.298638 	0.171706 
A	E	0.579599 	0.930413 	0.485414 
A	H	0.768316 	0.279370 	0.548759 
A	F	0.602457 	0.586443 	0.832610 
A	G	0.651868 	0.362816 	0.824904 
A	E	0.063279 	0.812394 	0.084578 
C	E	0.202861 	0.826865 	0.600039 
B	E	0.623546 	0.987989 	0.004495 
A	E	0.617423 	0.834576 	0.018121 
B	E	0.184476 	0.343389 	0.383539 
A	E	0.623329 	0.394574 	0.003323 
D	E	0.066589 	0.595597 	0.784289 
A	G	0.390012 	0.812169 	0.428178 
A	F	0.974710 	0.219340 	0.916930 
A	F	0.487449 	0.696002 	0.621368 
A	E	0.718956 	0.204420 	0.603014 
B	G	0.182351 	0.842723 	0.997988 
A	E	0.467636 	0.404645 	0.467181 
A	E	0.706529 	0.728352 	0.174246 
A	H	0.444830 	0.591310 	0.192934 
C	E	0.343375 	0.806968 	0.619578 
A	G	0.576824 	0.581816 	0.673318 
B	E	0.724742 	0.464706 	0.298010 
A	E	0.479361 	0.694389 	0.487756 
B	F	0.246000 	0.201905 	0.265078 
C	E	0.284006 	0.435856 	0.381577 
B	E	0.705194 	0.429652 	0.234181 
A	E	0.940977 	0.071684 	0.438060 
C	E	0.500170 	0.278309 	0.361641 
A	H	0.349757 	0.318325 	0.531975 
A	F	0.812717 	0.521285 	0.546208 
B	G	0.689065 	0.270638 	0.074231 
B	F	0.102852 	0.266485 	0.816202 
A	G	0.191929 	0.257541 	0.308086 
A	E	0.833488 	0.521740 	0.342149 
C	F	0.013251 	0.932985 	0.394055 
B	H	0.702272 	0.624058 	0.235242 
