69052 3 4 
A	a	X	0.999902 	0.993555 	0.008485 	0.166667 
B	b	Y	0.999985 	0.992067 	0.003904 	0.000000 
A	b	Y	0.999964 	0.995538 	0.003592 	0.400000 
B	c	Y	0.999978 	0.993555 	0.005674 	0.000000 
B	d	Y	0.999855 	0.998513 	0.006507 	0.800000 
B	e	Y	0.999980 	0.993555 	0.005466 	0.000000 
A	f	Y	0.999972 	0.994051 	0.007287 	0.000000 
A	a	Y	0.999820 	0.997025 	0.009890 	0.533333 
B	b	X	0.999982 	0.993555 	0.003904 	0.000000 
A	d	Y	0.999924 	0.995042 	0.007079 	0.000000 
B	d	Y	0.999981 	0.993555 	0.005309 	0.000000 
B	g	Y	0.999896 	0.996034 	0.008329 	0.333333 
B	e	X	0.999963 	0.992563 	0.012024 	0.000000 
A	f	X	0.999975 	0.992563 	0.010046 	0.000000 
B	e	Y	0.999931 	0.995538 	0.005153 	0.600000 
B	e	X	0.999820 	0.995042 	0.011348 	0.866667 
A	e	X	0.999965 	0.993555 	0.006351 	0.000000 
A	h	Y	0.999881 	0.992563 	0.006715 	0.000000 
A	e	X	0.999875 	0.994546 	0.012024 	0.000000 
B	e	Y	0.999930 	0.995042 	0.004945 	0.333333 
B	b	X	0.999961 	0.995538 	0.003175 	0.466667 
A	e	Y	0.999920 	0.995042 	0.009213 	0.000000 
A	d	X	0.999865 	0.997521 	0.005674 	0.000000 
B	c	Y	0.999852 	0.995538 	0.008849 	0.166667 
A	e	X	0.999920 	0.995538 	0.007444 	0.000000 
B	g	X	0.999604 	0.998513 	0.015928 	0.800000 
B	c	X	0.999970 	0.994546 	0.003175 	0.466667 
A	e	X	0.999925 	0.993555 	0.012076 	0.000000 
B	b	Y	0.999945 	0.996529 	0.003123 	0.533333 
A	e	X	0.999930 	0.994546 	0.005466 	0.333333 
B	c	Y	0.999850 	0.995042 	0.011348 	0.666667 
B	g	Y	0.999903 	0.995538 	0.008329 	0.000000 
B	f	Y	0.999920 	0.995538 	0.008120 	0.000000 
A	e	Y	0.999934 	0.994546 	0.005466 	0.000000 
B	b	Y	0.999920 	0.998017 	0.004164 	0.733333 
A	h	Y	0.999986 	0.993059 	0.004268 	0.000000 
A	d	Y	0.999950 	0.994546 	0.005674 	0.000000 
A	e	X	0.999797 	0.996529 	0.010619 	0.466667 
A	f	Y	0.999967 	0.994051 	0.007808 	0.000000 
A	a	Y	0.999920 	0.994051 	0.009630 	0.000000 
A	d	Y	0.999982 	0.992067 	0.004529 	0.000000 
B	b	Y	0.999932 	0.996034 	0.004268 	0.600000 
B	d	Y	0.999970 	0.993555 	0.005882 	0.000000 
B	b	Y	0.999855 	0.998017 	0.004477 	0.600000 
A	e	Y	0.999961 	0.993059 	0.006819 	0.000000 
A	e	X	0.999765 	0.998017 	0.007444 	0.733333 
A	f	Y	0.999985 	0.994546 	0.005674 	0.000000 
B	g	X	0.999770 	0.997521 	0.015772 	0.666667 
A	e	Y	0.999935 	0.993555 	0.008485 	0.000000 
A	e	X	0.999927 	0.996034 	0.012233 	0.333333 
B	c	Y	0.999914 	0.994546 	0.010411 	0.166667 
A	f	X	0.999941 	0.994051 	0.009266 	0.000000 
B	e	Y	0.999937 	0.992563 	0.013794 	0.000000 
A	e	Y	0.999940 	0.994546 	0.008485 	0.000000 
B	b	Y	0.999983 	0.993059 	0.004008 	0.000000 
B	b	Y	0.999907 	0.996529 	0.004477 	0.733333 
B	e	Y	0.999930 	0.993059 	0.006246 	0.000000 
B	e	Y	0.999982 	0.992563 	0.003904 	0.166667 
A	d	Y	0.999989 	0.993059 	0.003904 	0.000000 
A	f	X	0.999970 	0.992067 	0.008849 	0.000000 
A	f	Y	0.999972 	0.992067 	0.006819 	0.000000 
A	f	Y	0.999930 	0.997521 	0.003904 	0.333333 
A	e	X	0.999855 	0.995042 	0.008849 	0.166667 
A	e	Y	0.999957 	0.994051 	0.004685 	0.000000 
B	e	Y	0.999975 	0.993059 	0.005726 	0.000000 
A	e	Y	0.999965 	0.995042 	0.006246 	0.000000 
A	d	Y	0.999917 	0.996529 	0.005674 	0.166667 
A	a	X	0.999581 	0.998513 	0.010619 	0.733333 
A	f	X	0.999958 	0.993059 	0.010619 	0.000000 
A	f	X	0.999960 	0.993059 	0.008485 	0.000000 
B	c	Y	0.999905 	0.993555 	0.008849 	0.000000 
A	e	Y	0.999931 	0.993059 	0.008849 	0.166667 
B	a	X	0.999925 	0.995042 	0.010098 	0.966667 
A	d	Y	0.999915 	0.995042 	0.006819 	0.000000 
B	b	Y	0.999968 	0.993555 	0.003331 	0.466667 
A	d	Y	0.999881 	0.997025 	0.006038 	0.000000 
B	c	Y	0.999802 	0.994546 	0.015876 	0.666667 
B	c	Y	0.999902 	0.994546 	0.007808 	0.600000 
B	b	Y	0.999980 	0.993059 	0.004164 	0.166667 
A	d	X	0.999895 	0.994546 	0.007808 	0.000000 
A	e	Y	0.999890 	0.997521 	0.006819 	0.533333 
B	f	X	0.999836 	0.999008 	0.005726 	0.933333 
B	e	Y	0.999857 	0.997025 	0.006246 	0.600000 
B	b	Y	0.999940 	0.996034 	0.004164 	0.166667 
A	f	X	0.999963 	0.993059 	0.009318 	0.000000 
A	d	Y	0.999910 	0.995042 	0.005466 	0.400000 
B	e	Y	0.999866 	0.995538 	0.008849 	0.333333 
B	d	Y	0.999951 	0.994546 	0.005309 	0.000000 
B	e	X	0.999887 	0.994546 	0.013013 	0.000000 
A	b	Y	0.999986 	0.994546 	0.004581 	0.000000 
A	f	Y	0.999905 	0.997025 	0.006819 	0.000000 
B	b	Y	0.999986 	0.992563 	0.003123 	0.000000 
A	f	X	0.999890 	0.994546 	0.012024 	0.000000 
B	c	Y	0.999931 	0.994546 	0.008485 	0.333333 
A	f	X	0.999870 	0.995538 	0.009318 	0.000000 
A	f	X	0.999816 	0.997025 	0.016293 	0.000000 
A	f	X	0.999871 	0.996034 	0.007287 	0.000000 
A	e	Y	0.999895 	0.996529 	0.007444 	0.000000 
B	e	Y	0.999915 	0.996529 	0.004164 	0.666667 
B	e	Y	0.999851 	0.995042 	0.013794 	0.000000 
A	g	Y	0.999914 	0.995042 	0.010255 	0.000000 
B	e	X	0.999882 	0.994051 	0.011348 	0.000000 
A	d	Y	0.999960 	0.995538 	0.005986 	0.166667 
A	f	X	0.999953 	0.994051 	0.007808 	0.000000 
B	e	Y	0.999972 	0.993555 	0.003904 	0.333333 
A	f	Y	0.999945 	0.993555 	0.006351 	0.000000 
A	f	Y	0.999777 	0.998017 	0.007808 	0.666667 
A	d	Y	0.999986 	0.993059 	0.005674 	0.000000 
A	e	Y	0.999843 	0.997025 	0.008849 	0.400000 
B	f	Y	0.999908 	0.994546 	0.007808 	0.000000 
B	b	Y	0.999973 	0.994546 	0.003904 	0.166667 
A	e	X	0.999902 	0.995538 	0.007287 	0.000000 
B	e	X	0.999853 	0.997521 	0.010983 	0.600000 
C	e	X	0.999932 	0.992563 	0.014887 	0.000000 
B	b	X	0.999881 	0.997521 	0.004685 	0.800000 
B	g	Y	0.999741 	0.996034 	0.013794 	0.166667 
A	b	Y	0.999892 	0.996529 	0.005466 	0.166667 
A	b	Y	0.999983 	0.992067 	0.003904 	0.000000 
B	c	Y	0.999963 	0.993555 	0.005882 	0.000000 
A	d	Y	0.999951 	0.996034 	0.003904 	0.466667 
A	f	Y	0.999955 	0.995042 	0.007287 	0.000000 
B	f	Y	0.999961 	0.993059 	0.006819 	0.000000 
A	d	X	0.999730 	0.998017 	0.007287 	0.466667 
A	e	X	0.999431 	0.999008 	0.016969 	0.966667 
A	g	X	0.999520 	0.998513 	0.013794 	0.466667 
B	b	Y	0.999916 	0.996034 	0.010463 	0.533333 
A	a	X	0.999725 	0.996034 	0.011660 	0.000000 
B	d	Y	0.999850 	0.996034 	0.007287 	0.533333 
B	c	Y	0.999851 	0.993555 	0.008849 	0.533333 
A	a	Y	0.999880 	0.997025 	0.005257 	0.000000 
A	f	X	0.999975 	0.992067 	0.007808 	0.000000 
A	b	Y	0.999910 	0.997521 	0.004945 	0.600000 
B	g	X	0.999813 	0.996034 	0.011087 	0.466667 
B	e	Y	0.999905 	0.997521 	0.003592 	0.666667 
A	g	X	0.999884 	0.996034 	0.007287 	0.166667 
B	a	Y	0.999838 	0.997025 	0.007808 	0.800000 
